,,,,,,,,,,,,,,,,,
,Name,Base_price,Body_style,Seats,Base_ Engine,Base_Power,Mileage,Drive,Towing,Min_cargo_L,Front_headroom,Front_legroom,Rear_legroom,Rear_shoulder,Fuel_capacity,Batt,Range
,2022 BMW Z4,63900,Convertible,2,Gasoline,255,8.5,RWD,0,281,38.9,42.2,0,0,52,0,612
,2022 Buick Encore GX,26198,SUV,5,Gasoline,137,8.0,FWD,1000,665,39.7,40.9,36.0,53.6,50,0,625
,2022 Buick Envision,35698,SUV,5,Gasoline,228,8.9,FWD,1500,714,39.6,40.4,39.3,55.9,60,0,674
,2022 Buick Enclave,48098,SUV,7,Gasoline,310,11.3,FWD,1800,668,42.6,41.2,38.3,61.7,72,0,640
,2022 Buick Encore,24998,SUV,5,Gasoline,155,8.6,FWD,1000,532,39.6,40.8,35.7,52.5,53,0,616
,2022 Cadillac XT5,44298,SUV,5,Gasoline,235,9.5,FWD,1000,850,39.7,41.2,39.0,56.3,72,0,759
,2022 Cadillac Escalade,90498,SUV,7,Gasoline,420,14.8,AWD,8000,722,42.3,44.5,41.7,64.6,91,0,615
,2022 Cadillac CT4,37598,Sedan,5,Gasoline,235,8.7,RWD,0,303,38.3,42.4,33.4,53.9,64,0,736
,2022 Cadillac CT5,41498,Sedan,5,Gasoline,237,9.0,RWD,0,337,39.0,42.4,37.9,55.7,66,0,733
,2022 Cadillac Escalade ESV,93998,SUV,7,Gasoline,420,14.8,AWD,7900,1175,42.3,44.5,41.7,64.6,107,0,723
,2021 Cadillac XT4,36098,SUV,5,Gasoline,235,9.0,FWD,3500,637,39.4,44.1,39.5,55.1,60,0,670
,2022 Cadillac XT6,57998,SUV,7,Gasoline,235,10.2,AWD,1000,357,39.8,41.2,39.1,57.4,83,0,816
,2021 Chevrolet Silverado 1500,32048,Pickup,3,Gasoline,285,13.5,RWD,9800,0,43.1,44.5,0,0,129,0,956
,2022 Chevrolet Equinox,26498,SUV,5,Gasoline,170,8.4,FWD,1500,847,40,40.9,39.9,55.5,56,0,669
,2022 Chevrolet TrailBlazer,23998,SUV,5,Gasoline,137,7.8,FWD,1000,717,40,40.9,39.4,53.8,50,0,641
,2022 Chevrolet Spark,10398,Hatchback,4,Gasoline,98,7.2,FWD,0,314,39,41.7,33,49.8,35,0,487
,2022 Chevrolet Bolt EUV,40198,SUV,5,Electric,200,2,FWD,0,462,40,44.3,38.4,52,0,65,383
,2022 Chevrolet Bolt EV,38198,Hatchback,5,Electric,200,2,FWD,0,470,40.1,44.3,35.6,52.8,0,65,383
,2022 Chevrolet Colorado,27948,Pickup,4,Gasoline,200,10.9,RWD,7000,0,41.4,45,28.6,57.3,79,0,725
,2022 Chevrolet Traverse,39498,SUV,8,Gasoline,310,11.8,AWD,5000,651,42.8,44.5,44.3,62.2,82,0,695
,2022 Chevrolet Tahoe,57748,SUV,8,Gasoline,355,13.2,RWD,8600,722,42.3,44.5,42,64.8,91,0,689
,2022 Chevrolet Blazer,37498,SUV,5,Gasoline,228,9.4,FWD,1500,864,39.8,41,39.6,58.6,73,0,777
,2022 Chevrolet Camaro,29598,Coupe,4,Gasoline,275,10.1,RWD,0,258,38.5,43.9,,,72,0,713
,2022 Chevrolet Corvette ,70998,Convertible,2,Gasoline,490,12.4,RWD,0,357,37.9,42.8,0,0,70,0,565
,2021 Chevrolet Express 2500,46448,Van,12,Gasoline,286,,RWD,9600,2608,38.4,41.3,36.3,68.6,117,0,
,2021 Chevrolet Express Cargo 2500,40648,Van,2,Gasoline,286,,RWD,10000,6780,40.9,41.3,0,0,117,0,
,2022 Chevrolet Malibu,25598,Sedan,5,Gasoline,160,7.5,FWD,0,445,39.1,41.5,38.1,57.1,60,0,802
,2022 Chevrolet Silverado 1500 Long Box,32648,Pickup,3,Gasoline,310,,RWD,9900,0,43.1,44.5,0,0,129,0,
,2022 Chevrolet Silverado 2500HD,45048,Pickup,3,Gasoline,401,,RWD,18510,0,43.1,44.5,0,0,136,0,
,2022 Chevrolet Silverado 3500HD,47048,Pickup,3,Gasoline,401,,RWD,21500,0,43.1,44.5,0,0,136,0,
,2022 Chevrolet Suburban LS,60748,SUV,8,Gasoline,355,13.2,RWD,8300,1175,42.3,44.5,42,64.8,106,0,803
,2022 Chevrolet Trax 1LS,22098,SUV,5,Gasoline,138,8.4,FWD,1300,530,39.6,40.8,35.7,52.8,53,0,629
,2022 Chrysler Grand Caravan,44295,Van,7,Gasoline,287,10.6,FWD,3600,915,40.2,41.1,36.6,63.1,71,0,670
,2022 Chrysler Pacifica,50095,Van,7,Gasoline,287,10.6,FWD,3600,915,40.2,41.1,36.6,63.1,71,0,670
,2022 Chrysler Pacifica Hybrid ,54995,Van,7,Hybrid,260,2.9,FWD,3600,915,40.2,41.1,36.6,63.1,62,16,784
,2021 Chrysler 300,45945,Sedan,5,Gasoline,292,10.3,RWD,0,460,38.6,41.8,40.1,57.7,70,0,680
,2021 Dodge Challenger,37165,Coupe,5,Gasoline,303,10.3,RWD,0,459,39.3,42,33.1,53.9,70,0,680
,2021 Dodge Charger,40665,Sedan,5,Gasoline,292,10.3,RWD,0,467,38.6,41.8,40.1,58,70,0,680
,2021 Dodge Durango,50795,SUV,7,Gasoline,295,11.3,AWD,6200,487,39.9,40.4,38.6,50.4,93,0,823
,2022 Ferrari 812 Competizione,525000,Coupe,2,Gasoline,818,20.2,RWD,0,300,,,0,0,92,0,455
,2021 Ferrari 812 GTS,469318,Convertible,2,Gasoline,789,20.5,RWD,0,250,,,0,0,92,0,448
,2021 Ferrari 812 Superfast,452523,Coupe,2,Gasoline,789,20.2,RWD,0,300,,,0,0,92,0,455
,2021 Ferrari F8 Tributo,322562,Coupe,2,Gasoline,710,16.5,RWD,0,200,,,0,0,78,0,474
,2021 Ferrari F8 Tributo Spider,356989,Convertible,2,Gasoline,710,16.7,RWD,0,200,,,0,0,78,0,468
,2021 Ferrari Portofino,264670,Convertible,4,Gasoline,612,14.4,RWD,0,292,,,,,80,0,556
,2021 Ferrari Roma,251665,Coupe,4,Gasoline,612,14.2,RWD,0,387,,,,,80,0,565
,2022 Ferrari SF90,599341,Coupe,2,Hybrid,986,1.4,4WD,0,,,,0,0,68,7.9,25
,2022 Fiat 500X,32495,SUV,5,Gasoline,177,9.1,AWD,2000,400,39.1,41.5,34.8,52.8,48,0,531
,2022 Ford F-150,34745,Pickup,3,Gasoline,290,11.0,RWD,14000,0,40.8,43.9,0,0,87,0,790
,2022 Ford Escape,29099,SUV,5,Gasoline,180,7.8,FWD,0,953,40,40.7,38.8,56,56,0,718
,2022 Ford Explorer,46199,SUV,6,Gasoline,350,10.3,AWD,5300,515,40.7,43,39,61.9,73,0,709
,2022 Ford Transit,52140,Van,12,Gasoline,275,,RWD,4700,1985,40.8,41.3,33.7,71.4,95,0,
