,Name,Base_price,Body_style,Seats,Base_Engine,Base_Power,Mileage,Drive,Towing,Min_cargo_L,Front_headroom,Front_legroom,Rear_legroom,Rear_shoulder,Fuel_capacity,Batt,Range
90,2022 Cadillac Escalade ESV,93998,1,7,1,420.0,14.8,1,7900.0,1175.0,42.3,44.5,41.7,64.6,107.0,0.0,723.0
91,2021 Cadillac XT4,36098,1,5,1,235.0,9.0,2,3500.0,637.0,39.4,44.1,39.5,55.1,60.0,0.0,670.0
92,2022 Cadillac XT6,57998,1,7,1,235.0,10.2,1,1000.0,357.0,39.8,41.2,39.1,57.4,83.0,0.0,816.0
93,2021 Chevrolet Silverado 1500,32048,5,3,1,285.0,13.5,3,9800.0,0.0,43.1,44.5,0.0,0.0,129.0,0.0,956.0
94,2022 Chevrolet Equinox,26498,1,5,1,170.0,8.4,2,1500.0,847.0,40.0,40.9,39.9,55.5,56.0,0.0,669.0
95,2022 Chevrolet TrailBlazer,23998,1,5,1,137.0,7.8,2,1000.0,717.0,40.0,40.9,39.4,53.8,50.0,0.0,641.0
96,2022 Chevrolet Spark,10398,4,4,1,98.0,7.2,2,0.0,314.0,39.0,41.7,33.0,49.8,35.0,0.0,487.0
97,2022 Chevrolet Bolt EUV,40198,1,5,3,200.0,2.0,2,0.0,462.0,40.0,44.3,38.4,52.0,0.0,65.0,383.0
98,2022 Chevrolet Bolt EV,38198,4,5,3,200.0,2.0,2,0.0,470.0,40.1,44.3,35.6,52.8,0.0,65.0,383.0
99,2022 Chevrolet Colorado,27948,5,4,1,200.0,10.9,3,7000.0,0.0,41.4,45.0,28.6,57.3,79.0,0.0,725.0
100,2022 Chevrolet Traverse,39498,1,8,1,310.0,11.8,1,5000.0,651.0,42.8,44.5,44.3,62.2,82.0,0.0,695.0
101,2022 Chevrolet Tahoe,57748,1,8,1,355.0,13.2,3,8600.0,722.0,42.3,44.5,42.0,64.8,91.0,0.0,689.0
102,2022 Chevrolet Blazer,37498,1,5,1,228.0,9.4,2,1500.0,864.0,39.8,41.0,39.6,58.6,73.0,0.0,777.0
103,2022 Chevrolet Camaro,29598,3,4,1,275.0,10.1,3,0.0,258.0,38.5,43.9,32.76197916666670,50.65138539042820,72.0,0.0,713.0
104,2022 Chevrolet Corvette,70998,7,2,1,490.0,12.4,3,0.0,357.0,37.9,42.8,0.0,0.0,70.0,0.0,565.0
105,2021 Chevrolet Express 2500,46448,6,12,1,286.0,11.75257731958760,3,9600.0,2608.0,38.4,41.3,36.3,68.6,117.0,0.0,642.4584382871540
106,2021 Chevrolet Express Cargo 2500,40648,6,2,1,286.0,11.75257731958760,3,10000.0,6780.0,40.9,41.3,0.0,0.0,117.0,0.0,642.4584382871540
107,2022 Chevrolet Malibu,25598,2,5,1,160.0,7.5,2,0.0,445.0,39.1,41.5,38.1,57.1,60.0,0.0,802.0
